,Longitude,Latitude
0,37.043,37.288
1,37.239,38.089
2,36.92,37.304
3,36.021,36.037
4,36.478,38.071
5,35.978,36.186
6,38.151,38.305
7,36.652,37.119
8,36.992,37.235
9,37.954,38.181
10,37.957,37.898
11,38.303,38.272
12,37.241,38.064
13,37.051,37.303
14,37.628,38.037
15,37.652,37.79
16,38.18,38.239
17,37.641,38.012
18,37.188,37.542
19,37.006,37.294
20,38.617,38.135
21,36.649,37.054
22,36.976,37.182
23,36.591,38.084
24,36.486,38.035
25,36.434,37.959
26,38.106,38.287
27,37.483,37.988
28,37.555,38.007
29,36.467,38.021
30,35.752,36.253
31,36.469,38.023
32,38.368,38.084
33,38.561,38.125
34,36.602,38.08
35,37.074,38.062
36,36.62,38.085
37,37.471,37.952
38,38.141,38.235
39,38.509,38.117
40,37.626,38.007
41,37.727,37.977
42,37.391,37.985
43,36.633,36.836
44,37.457,37.733
45,36.053,36.136
46,37.584,37.932
47,36.602,37.847
48,37.856,38.126
49,37.433,37.989
50,36.41,36.704
51,37.07,37.336
52,38.266,38.342
53,36.701,37.096
54,37.041,37.34
55,36.646,37.071
56,38.097,38.873
57,36.567,37.973
58,38.253,38.253
59,36.52,38.049
60,36.392,38.033
61,36.571,38.108
62,37.392,38.012
63,36.529,38.052
64,38.551,38.126
65,37.674,38.033
66,38.234,38.251
67,36.475,38.025
68,35.964,36.074
69,36.236,37.919
70,37.638,37.99
71,38.622,38.258
72,40.172,39.154
73,38.576,38.191
74,36.401,38.043
75,36.438,38.007
76,39.962,38.702
77,38.696,38.201
78,39.989,38.706
79,37.046,38.061
80,37.399,38.839
81,37.275,37.554
82,36.888,37.251
83,36.492,36.67
84,37.891,37.887
85,39.877,38.686
86,37.636,37.978
87,36.823,38.095
88,38.149,38.259
89,37.85,38.14
90,38.692,38.209
91,36.424,38.028
92,37.467,38.003
93,36.51,36.853
94,36.42,37.962
95,37.051,37.279
96,35.858,35.883
97,37.847,38.183
98,37.686,38.385
99,36.618,37.906
100,36.417,38.046
101,36.871,37.372
102,36.394,36.702
103,36.588,38.119
104,37.26,37.496
105,36.402,38.003
106,38.233,38.277
107,37.758,37.847
108,36.408,37.968
109,36.431,36.974
110,36.575,36.919
111,37.625,38.021
112,36.606,37.877
113,36.778,37.221
114,38.323,38.051
115,37.423,38.616
116,36.722,38.06
117,36.661,38.087
118,36.041,36.229
119,36.619,38.072
120,37.36,37.617
121,36.476,36.571
122,38.535,38.138
123,36.192,36.357
124,38.6,38.168
125,36.479,38.054
126,38.081,38.861
127,40.62,39.75
128,39.665,38.627
129,36.451,36.68
130,38.225,38.015
131,37.155,37.518
132,36.941,37.392
133,37.422,37.709
134,36.617,38.046
135,39.963,38.692
136,40.001,38.682
137,36.812,38.086
138,35.926,36.076
139,36.158,36.762
140,36.628,37.837
141,38.442,38.107
142,38.175,38.313
143,38.586,38.146
144,38.06,38.219
145,38.469,38.641
146,37.419,37.976
147,38.239,38.225
148,37.504,38.005
149,36.143,36.339
150,36.231,36.403
151,36.435,38.027
152,36.717,38.067
153,37.053,37.303
154,37.211,37.548
155,36.633,38.056
156,36.552,36.839
157,36.953,37.186
158,38.499,38.12
159,37.595,37.903
160,36.955,37.176
161,37.546,37.989
162,36.322,37.94
163,42.135,41.799
164,39.054,38.254
165,36.49,38.025
166,36.701,37.145
167,38.218,38.284
168,37.672,37.937
169,36.835,37.236
170,38.002,37.892
171,42.228,41.693
172,37.301,38.078
173,37.139,37.524
174,38.198,38.084
175,36.471,38.021
176,38.31,38.03
177,38.622,38.147
178,36.449,36.702
179,38.386,38.102
180,37.226,37.441
181,36.534,38.09
182,37.782,37.854
183,36.433,37.991
184,38.473,38.111
185,36.419,37.981
186,38.019,38.133
187,36.816,38.103
188,35.888,36.078
189,36.387,37.883
190,38.067,38.255
191,38.272,38.057
192,36.501,38.037
193,36.613,37.992
194,36.991,37.419
195,38.473,38.081
196,37.839,37.878
197,38.201,38.247
198,37.669,37.786
199,37.274,37.584
200,36.471,37.976
201,38.576,38.151
202,38.491,38.008
203,37.315,37.607
204,37.832,38.097
205,36.537,38.051
206,36.448,38.014
207,36.957,37.105
208,37.421,38.005
209,38.719,38.208
210,37.453,38.058
211,36.425,36.639
212,36.67,37.858
213,37.86,38.18
214,36.593,38.151
215,36.224,38.091
216,40.353,38.552
217,38.301,38.07
218,36.619,38.074
219,38.132,38.035
220,36.419,38.018
221,36.55,37.711
222,41.024,39.001
223,38.244,38.109
224,40.284,38.505
225,37.386,38.033
226,37.764,38.074
227,37.044,38.017
228,36.073,36.318
229,39.989,38.718
230,37.025,37.304
231,43.474,36.276
232,36.168,36.23
233,38.747,38.255
234,37.868,38.141
235,37.007,38.013
236,36.922,38.074
237,38.404,38.09
238,37.5,38.007
239,37.157,38.086
240,36.84,37.254
241,37.867,38.174
242,38.335,38.099
243,38.04,37.935
244,38.517,38.121
245,38.184,37.96
246,36.986,38.137
247,36.476,38.0
248,37.475,37.979
249,36.922,38.071
250,38.347,38.09
251,38.194,38.337
252,38.153,37.975
253,37.066,37.283
254,36.34,36.321
255,38.186,38.151
256,38.531,38.121
257,37.871,38.177
258,38.281,38.031
259,40.01,38.79
260,40.437,38.516
261,38.534,38.162
